Id,Date,Species,Block,Street,Trap,TrapType,AddressNumberAndStreet,Latitude,Longitude,NumMosquitos,WnvPresent
120,2007-06-29,CULEX RESTUANS,22,W ,T087,GRAVID,22XX W 113TH ST,41.688192849,-87.676873112,2,0
121,2007-06-29,CULEX RESTUANS,104,S VINCENNES AVE,T089,GRAVID,104XX S VINCENNES AVE,41.704338415,-87.657084272,2,0
122,2007-06-29,CULEX PIPIENS/RESTUANS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,1,0
123,2007-06-29,CULEX PIPIENS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,3,0
124,2007-06-29,CULEX RESTUANS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,6,0
125,2007-06-29,CULEX PIPIENS/RESTUANS,119,S PEORIA ST,T091,GRAVID,119XX S PEORIA ST,41.677032353,-87.644465075,1,0
126,2007-06-29,CULEX RESTUANS,2,W ,T096,CDC,2XX W 89TH ST,41.732428064,-87.63105648,1,0
127,2007-06-29,CULEX RESTUANS,4,W ,T135,CDC,4XX W 127TH,,,3,0
128,2007-06-29,CULEX RESTUANS,35,W ,T158,GRAVID,35XX W 116TH ST,41.682180403,-87.710091651,6,0
129,2007-06-29,CULEX PIPIENS/RESTUANS,111,S ARTESIAN AVE,T160,GRAVID,111XX S ARTESIAN AVE,41.690922985,-87.682259674,1,0
130,2007-06-26,CULEX PIPIENS/RESTUANS,40,N TRIPP AVE,T001,GRAVID,40XX N TRIPP AVE,41.954282456,-87.733842875,1,0
131,2007-06-26,CULEX PIPIENS/RESTUANS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,1,0
132,2007-06-26,CULEX SALINARIUS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,1,0
133,2007-06-26,CULEX RESTUANS,41,N OAK PARK AVE,T002,GRAVID,41XX N OAK PARK AVE,41.956298856,-87.797517445,4,0
134,2007-06-26,CULEX RESTUANS,46,N MILWAUKEE AVE,T003,GRAVID,46XX N MILWAUKEE AVE,41.965374859,-87.758411715,2,0
135,2007-06-26,CULEX PIPIENS/RESTUANS,60,N AVONDALE AVE,T006,GRAVID,60XX N AVONDALE AVE,41.99023373,-87.797219879,1,0
136,2007-06-26,CULEX RESTUANS,60,N AVONDALE AVE,T006,GRAVID,60XX N AVONDALE AVE,41.99023373,-87.797219879,1,0
137,2007-06-26,CULEX RESTUANS,62,N MANDELL AVE,T007,CDC,62XX N MANDELL AVE,41.995492419,-87.769608945,4,0
138,2007-06-26,CULEX PIPIENS/RESTUANS,62,N MANDELL AVE,T007,CDC,62XX N MANDELL AVE,41.995492419,-87.769608945,1,0
139,2007-06-26,CULEX RESTUANS,70,N MOSELLE AVE,T008,GRAVID,70XX N MOSELLE AVE,42.007997503,-87.778234965,2,0
140,2007-06-26,CULEX RESTUANS,36,N PITTSBURGH AVE,T011,GRAVID,36XX N PITTSBURGH AVE,41.945961094,-87.832942473,4,0
141,2007-06-26,CULEX PIPIENS/RESTUANS,36,N PITTSBURGH AVE,T011,GRAVID,36XX N PITTSBURGH AVE,41.945961094,-87.832942473,2,0
142,2007-06-26,CULEX PIPIENS/RESTUANS,61,N LEMONT AVE,T012,GRAVID,61XX N LEMONT AVE,41.993564362,-87.745420387,2,0
143,2007-06-26,CULEX RESTUANS,79,W FOSTER AVE,T015,GRAVID,79XX W FOSTER AVE,41.974182874,-87.825240931,1,0
144,2007-06-26,CULEX RESTUANS,72,N OKETO AVE,T016,GRAVID,72XX N OKETO AVE,42.013029275,-87.811349732,2,0
145,2007-06-26,CULEX PIPIENS/RESTUANS,72,N OKETO AVE,T016,GRAVID,72XX N OKETO AVE,42.013029275,-87.811349732,2,0
146,2007-06-26,CULEX PIPIENS/RESTUANS,49,W BALMORAL AVE,T025,GRAVID,49XX W BALMORAL AVE,41.979049924,-87.751773965,1,0
147,2007-06-26,CULEX RESTUANS,53,W AGATITE AVE,T141,GRAVID,53XX W AGATITE AVE,41.961584365,-87.760616703,3,0
148,2007-06-26,CULEX PIPIENS/RESTUANS,53,W AGATITE AVE,T141,GRAVID,53XX W AGATITE AVE,41.961584365,-87.760616703,1,0
149,2007-06-26,CULEX RESTUANS,40,N AUSTIN AVE,T142,GRAVID,40XX N AUSTIN AVE,41.953540121,-87.776939042,4,0
150,2007-06-26,CULEX PIPIENS/RESTUANS,65,N OAK PARK AVE,T143,GRAVID,65XX N OAK PARK AVE,,,1,0
151,2007-06-26,CULEX RESTUANS,65,N OAK PARK AVE,T143,GRAVID,65XX N OAK PARK AVE,,,1,0
152,2007-06-26,CULEX RESTUANS,27,S WESTERN AVE,T034,GRAVID,27XX S WESTERN AVE,41.841684181,-87.685148736,1,0
153,2007-06-26,CULEX PIPIENS/RESTUANS,14,N HUMBOLDT DR,T033,GRAVID,14XX N HUMBOLDT DR,41.907284873,-87.701394637,2,0
154,2007-06-26,CULEX RESTUANS,14,N HUMBOLDT DR,T033,GRAVID,14XX N HUMBOLDT DR,41.907284873,-87.701394637,3,0
155,2007-06-26,CULEX RESTUANS,68,W BELDEN AVE,T037,GRAVID,68XX W BELDEN AVE,41.921053914,-87.795750701,1,0
156,2007-06-26,CULEX PIPIENS/RESTUANS,21,S HAMLIN AVE,T040,GRAVID,21XX S HAMLIN AVE,41.851768893,-87.719728203,5,0
157,2007-06-26,CULEX RESTUANS,21,S HAMLIN AVE,T040,GRAVID,21XX S HAMLIN AVE,41.851768893,-87.719728203,1,0
158,2007-06-26,CULEX RESTUANS,70,W ARMITAGE AVE,T151,GRAVID,70XX W ARMITAGE AVE,41.916134719,-87.801092809,6,0
159,2007-06-26,CULEX PIPIENS/RESTUANS,70,W ARMITAGE AVE,T151,GRAVID,70XX W ARMITAGE AVE,41.916134719,-87.801092809,3,0
160,2007-06-26,CULEX RESTUANS,38,N CALIFORNIA AVE,T019,GRAVID,38XX N CALIFORNIA AVE,41.95166715,-87.69802789,1,0
161,2007-06-26,CULEX PIPIENS/RESTUANS,58,N WESTERN AVE,T028,CDC,58XX N WESTERN AVE,41.987244608,-87.68941677,1,0
162,2007-06-26,CULEX RESTUANS,58,N WESTERN AVE,T028,CDC,58XX N WESTERN AVE,41.987244608,-87.68941677,9,0
163,2007-06-26,CULEX RESTUANS,43,N ASHLAND,T145,GRAVID,43XX N ASHLAND,,,1,0
164,2007-06-26,CULEX RESTUANS,42,N RICHMOND ST,T146,GRAVID,42XX N RICHMOND ST,41.958005534,-87.702181075,6,0
165,2007-06-26,CULEX RESTUANS,28,N FRANCISCO AVE,T147,GRAVID,28XX N FRANCISCO AVE,41.93279021,-87.700237884,1,0
166,2007-06-26,CULEX RESTUANS,75,N OAKLEY AVE,T148,GRAVID,75XX N OAKLEY AVE,42.01780085,-87.687601446,2,0
167,2007-06-26,CULEX PIPIENS/RESTUANS,75,N OAKLEY AVE,T148,GRAVID,75XX N OAKLEY AVE,42.01780085,-87.687601446,2,0
168,2007-06-26,CULEX RESTUANS,18,W FARWELL AVE,T150,GRAVID,18XX W FARWELL AVE,42.006597859,-87.677866207,2,0
169,2007-06-26,CULEX RESTUANS,18,W LELAND AVE,T219,GRAVID,18XX W LELAND AVE,41.9670855,-87.675160725,1,0
170,2007-06-26,CULEX RESTUANS,45,N CAMPBELL AVE,T220,GRAVID,45XX N CAMPBELL AVE,41.964405454,-87.691370391,1,0
171,2007-06-26,CULEX RESTUANS,3,W ,T043,GRAVID,3XX W 18TH ST,41.857837294,-87.635861986,1,0
172,2007-06-26,CULEX RESTUANS,15,W WEBSTER AVE,T045,GRAVID,15XX W WEBSTER AVE,41.921704574,-87.666963235,1,0
173,2007-06-26,CULEX PIPIENS/RESTUANS,15,W WEBSTER AVE,T045,GRAVID,15XX W WEBSTER AVE,41.921704574,-87.666963235,1,0
174,2007-06-26,CULEX PIPIENS/RESTUANS,25,W GRAND AVE,T046,CDC,25XX W GRAND AVE,41.892219983,-87.691697729,1,0
175,2007-06-26,CULEX RESTUANS,25,W GRAND AVE,T046,CDC,25XX W GRAND AVE,41.892219983,-87.691697729,6,0
176,2007-06-26,CULEX RESTUANS,11,S CALIFORNIA AVE,T047,CDC,11XX S CALIFORNIA AVE,41.867599254,-87.695785443,1,0
177,2007-06-26,CULEX PIPIENS/RESTUANS,11,S CALIFORNIA AVE,T047,CDC,11XX S CALIFORNIA AVE,41.867599254,-87.695785443,1,0
178,2007-06-26,CULEX PIPIENS/RESTUANS,11,W ROOSEVELT RD,T048,GRAVID,11XX W ROOSEVELT RD,41.866915182,-87.654918844,2,0
179,2007-06-26,CULEX RESTUANS,11,W CHICAGO AVE,T049,GRAVID,11XX W CHICAGO AVE,41.896131093,-87.656762124,1,0
180,2007-06-26,CULEX RESTUANS,21,N STAVE ST,T050,GRAVID,21XX N STAVE ST,41.919878936,-87.694901815,1,0
181,2007-06-26,CULEX PIPIENS/RESTUANS,25,S THROOP ST,T051,CDC,25XX S THROOP ST,41.845529477,-87.656050135,1,0
182,2007-06-26,CULEX PIPIENS/RESTUANS,5,N STREETER DR,T129,GRAVID,5XX N STREETER DR,41.891513022,-87.609784822,1,0
183,2007-06-26,CULEX RESTUANS,5,N STREETER DR,T129,GRAVID,5XX N STREETER DR,41.891513022,-87.609784822,1,0
184,2007-06-26,CULEX RESTUANS,10,W ,T085,GRAVID,10XX W 95TH ST,41.721479435,-87.650621492,2,0
185,2007-06-26,CULEX PIPIENS/RESTUANS,22,W ,T086,GRAVID,22XX W 113TH ST,41.68817059,-87.678251676,1,0
186,2007-06-26,CULEX PIPIENS/RESTUANS,22,W ,T087,GRAVID,22XX W 113TH ST,41.688192849,-87.676873112,1,0
187,2007-06-26,CULEX RESTUANS,22,W ,T087,GRAVID,22XX W 113TH ST,41.688192849,-87.676873112,2,0
188,2007-06-26,CULEX PIPIENS,105,S CALIFORNIA AVE,T088,CDC,105XX S CALIFORNIA AVE,41.701009731,-87.691501699,1,0
189,2007-06-26,CULEX PIPIENS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,1,0
190,2007-06-26,CULEX PIPIENS/RESTUANS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,10,0
191,2007-06-26,CULEX RESTUANS,119,S ASHLAND AVE,T090,GRAVID,119XX S ASHLAND AVE,41.676887316,-87.661221926,19,0
192,2007-06-26,CULEX RESTUANS,2,W ,T096,CDC,2XX W 89TH ST,41.732428064,-87.63105648,5,0
193,2007-06-26,CULEX RESTUANS,4,W ,T135,CDC,4XX W 127TH,,,25,0
